partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
6126,1,Cruzeiro,12.0,2.0,0.4,425.0,0.81,20.0,3,0,0,7
6126,1,Gremio,6.0,2.0,0.6,649.0,0.86,15.0,1,1,3,4
6127,1,Vitoria,21.0,6.0,0.66,545.0,0.88,24.0,3,0,2,4
6127,1,Flamengo,10.0,5.0,0.34,286.0,0.72,10.0,2,1,2,5
6128,1,Santos,22.0,3.0,0.54,532.0,0.9,7.0,0,0,1,4
6128,1,Ceara,10.0,2.0,0.46,472.0,0.85,5.0,1,0,0,2
6129,1,America-MG,14.0,4.0,0.38,363.0,0.76,11.0,1,0,4,2
6129,1,Sport,15.0,5.0,0.62,580.0,0.85,12.0,3,0,3,6
6130,1,Vasco,19.0,7.0,0.67,596.0,0.88,11.0,4,0,3,9
6130,1,Atletico-MG,11.0,6.0,0.33,321.0,0.78,18.0,3,0,3,3
6131,1,Internacional,13.0,4.0,0.45,412.0,0.75,16.0,2,0,1,4
6131,1,Bahia,12.0,2.0,0.55,491.0,0.82,18.0,0,0,1,3
6132,1,Fluminense,13.0,3.0,0.35,293.0,0.73,15.0,0,0,0,2
6132,1,Corinthians,11.0,2.0,0.65,515.0,0.84,14.0,0,0,0,6
6133,1,Athletico-PR,18.0,8.0,0.7,646.0,0.92,10.0,1,0,3,3
6133,1,Chapecoense,14.0,1.0,0.3,271.0,0.77,16.0,3,0,1,9
6134,1,Parana,7.0,1.0,0.48,446.0,0.84,15.0,2,0,2,7
6134,1,Sao Paulo,10.0,5.0,0.52,480.0,0.86,20.0,4,0,3,7
6135,1,Botafogo-RJ,13.0,3.0,0.46,409.0,0.8,7.0,1,0,0,8
6135,1,Palmeiras,7.0,4.0,0.54,498.0,0.81,23.0,4,0,0,3
6136,2,Santos,8.0,2.0,0.46,352.0,0.8,21.0,3,0,5,6
6136,2,Bahia,12.0,5.0,0.54,395.0,0.84,29.0,4,0,2,7
6137,2,Flamengo,14.0,5.0,0.49,345.0,0.82,15.0,1,0,1,6
6137,2,America-MG,18.0,5.0,0.51,345.0,0.79,17.0,1,0,0,12
6138,2,Corinthians,9.0,4.0,0.52,467.0,0.82,16.0,1,0,1,2
6138,2,Parana,17.0,6.0,0.48,413.0,0.84,16.0,1,0,2,5
6139,2,Ceara,14.0,3.0,0.51,497.0,0.85,12.0,1,0,1,7
6139,2,Sao Paulo,11.0,3.0,0.49,476.0,0.86,7.0,1,0,1,7
6140,2,Atletico-MG,12.0,5.0,0.61,497.0,0.86,22.0,2,0,6,6
6140,2,Vitoria,11.0,3.0,0.39,321.0,0.78,19.0,4,0,1,5
6141,2,Fluminense,3.0,1.0,0.31,273.0,0.69,13.0,3,1,0,1
6141,2,Cruzeiro,16.0,6.0,0.69,576.0,0.85,19.0,2,0,3,7
6142,2,Vasco,17.0,4.0,0.64,559.0,0.84,8.0,2,0,2,3
6142,2,Chapecoense,10.0,2.0,0.36,306.0,0.75,13.0,1,0,2,3
6143,2,Palmeiras,13.0,2.0,0.44,390.0,0.79,14.0,2,0,0,8
6143,2,Internacional,7.0,2.0,0.56,483.0,0.81,15.0,2,0,2,9
6144,2,Gremio,22.0,6.0,0.49,587.0,0.86,9.0,3,0,3,7
6144,2,Athletico-PR,7.0,1.0,0.51,602.0,0.85,15.0,2,1,1,4
6145,2,Botafogo-RJ,10.0,1.0,0.49,375.0,0.77,15.0,3,0,0,7
6145,2,Sport,20.0,11.0,0.51,391.0,0.77,14.0,1,0,2,10
6146,3,Botafogo-RJ,19.0,6.0,0.56,464.0,0.85,14.0,1,0,0,10
6146,3,Gremio,9.0,1.0,0.44,388.0,0.79,12.0,1,0,2,4
6149,3,Chapecoense,7.0,3.4220183486238533,0.28,237.0,0.71,17.0,6,0,2,1
6149,3,Palmeiras,16.0,4.0,0.72,589.0,0.85,17.0,4,0,2,14
6151,3,Corinthians,5.0,1.0,0.42,413.0,0.8,15.0,3,0,0,0
6151,3,Atletico-MG,18.0,5.0,0.58,556.0,0.88,25.0,4,0,2,10
6152,3,Sao Paulo,14.0,3.0,0.45,316.0,0.73,16.0,2,0,0,8
6152,3,Fluminense,12.0,2.0,0.55,370.0,0.8,17.0,3,0,2,7
6147,3,Athletico-PR,9.0,2.0,0.66,640.0,0.88,12.0,2,0,1,2
6147,3,Bahia,23.0,7.0,0.34,334.0,0.83,22.0,2,0,2,8
6148,3,Flamengo,18.0,7.0,0.52,431.0,0.86,12.0,2,0,3,5
6148,3,Ceara,8.0,1.0,0.48,401.0,0.88,18.0,1,0,1,2
6150,3,Sport,10.0,3.0,0.3,261.0,0.63,15.0,1,0,3,1
6150,3,Parana,28.0,12.0,0.7,575.0,0.85,14.0,1,0,2,8
6153,3,Internacional,22.0,6.0,0.59,462.0,0.83,15.0,4,0,5,18
6153,3,Cruzeiro,8.0,4.112676056338028,0.41,350.0,0.77,14.0,3,0,1,4
6154,3,America-MG,15.0,8.0,0.4,305.0,0.68,14.0,1,1,0,8
6154,3,Vitoria,14.0,5.0,0.6,445.0,0.79,12.0,2,0,3,7
6156,4,Vasco,18.0,7.0,0.67,557.0,0.86,14.0,4,0,5,3
6156,4,America-MG,4.0,1.0,0.33,282.0,0.7,24.0,4,0,0,3
6157,4,Atletico-MG,9.0,5.0,0.62,535.0,0.87,14.0,4,0,2,7
6157,4,Sao Paulo,7.0,2.0,0.38,317.0,0.77,17.0,4,0,2,6
6158,4,Ceara,4.0,3.0,0.38,380.0,0.82,20.0,4,0,3,2
6158,4,Corinthians,14.0,4.0,0.62,585.0,0.89,12.0,2,0,2,12
6159,4,Flamengo,17.0,7.0,0.58,470.0,0.86,12.0,5,0,1,6
6159,4,Internacional,11.0,4.0,0.42,345.0,0.82,15.0,4,1,0,6
6160,4,Botafogo-RJ,7.0,1.0,0.48,395.0,0.8,12.0,4,0,1,6
6160,4,Cruzeiro,23.0,6.0,0.52,417.0,0.82,19.0,1,0,5,8
6161,4,Palmeiras,15.0,6.0,0.38,389.0,0.77,15.0,2,0,1,6
6161,4,Athletico-PR,9.0,4.0,0.62,619.0,0.89,10.0,1,0,3,3
6162,4,Fluminense,18.0,4.0,0.66,517.0,0.84,7.0,1,0,1,9
6162,4,Vitoria,7.0,1.0,0.34,274.0,0.72,18.0,2,0,3,3
6163,4,Gremio,18.0,8.0,0.64,657.0,0.9,15.0,1,0,0,8
6163,4,Santos,8.0,2.0,0.36,370.0,0.83,22.0,3,0,1,1
6164,4,Bahia,7.0,1.0,0.53,393.0,0.78,21.0,1,1,0,7
6164,4,Sport,20.0,9.0,0.47,343.0,0.76,18.0,1,0,1,9
6165,4,Parana,18.0,3.0,0.47,338.0,0.71,16.0,2,1,1,4
6165,4,Chapecoense,13.0,2.0,0.53,373.0,0.73,10.0,1,0,0,6
6166,5,Internacional,5.0,1.0,0.22,212.0,0.65,24.0,4,0,0,1
6166,5,Gremio,11.0,1.0,0.78,721.0,0.89,13.0,3,0,0,11
6167,5,Cruzeiro,15.0,5.0,0.56,481.0,0.86,18.0,2,0,4,7
6167,5,Sport,10.0,4.0,0.44,389.0,0.82,16.0,3,0,2,4
6169,5,Vitoria,9.0,3.0,0.37,289.0,0.69,19.0,3,0,1,2
6169,5,Vasco,20.0,7.0,0.63,472.0,0.8,16.0,2,0,1,7
6170,5,Palmeiras,10.0,4.0,0.47,366.0,0.74,21.0,3,0,2,3
6170,5,Corinthians,11.0,5.0,0.53,409.0,0.79,15.0,2,0,0,10
